input	intent	role_action	role_target	role_device	
Hey assistant, take a photo with the camera and tell me what you see.	CAMERA_CAPTURE_ANALYZE	take	photo	camera	
Snap a quick picture right now using the web cam.	CAMERA_CAPTURE	Snap	picture	web cam	
Activate the video feed and scan the room for people.	CAMERA_ANALYZE_ENVIRONMENT	Activate	video feed	camera	
Turn up the speaker volume because it is too quiet in here.	AUDIO_VOLUME_UP	Turn up	volume	speaker	
Mute the microphone immediately.	MICROPHONE_MUTE	Mute	microphone	microphone	
Can you record a ten second audio clip using your mic?	AUDIO_RECORD	record	audio clip	mic	
Play the alert chime through the audio jack.	AUDIO_PLAYBACK	Play	alert chime	audio jack	
Shut down the camera module to save power.	CAMERA_DISABLE	Shut down	camera module	camera	
Unmute your microphone and listen for my commands.	MICROPHONE_UNMUTE	Unmute	microphone	microphone	
Lower the sound output on your speakers to level three.	AUDIO_VOLUME_DOWN	Lower	sound output	speakers	
Capture a snapshot and save the image file to the disk.	CAMERA_CAPTURE_SAVE	Capture	snapshot	camera	
Check the microphone sensitivity and tell me if it is working.	MICROPHONE_STATUS_CHECK	Check	sensitivity	microphone	
Broadcast this text message through the loud speaker.	AUDIO_SPEECH_SYNTHESIS	Broadcast	text message	loud speaker	
Initialize the camera peripheral and start streaming data.	CAMERA_ENABLE	Initialize	camera peripheral	camera	
Stop recording sound right now.	AUDIO_RECORD_STOP	Stop	recording sound	microphone	
Maximize the speaker volume to full capacity.	AUDIO_VOLUME_MAX	Maximize	volume	speaker	
Analyze the visual matrix from the camera sensor for color detection.	CAMERA_ANALYZE_COLOR	Analyze	visual matrix	camera sensor	
Listen closely for any background noises in the room.	MICROPHONE_MONITOR	Listen	background noises	microphone	
Pause all audio playback channels instantly.	AUDIO_PLAYBACK_PAUSE	Pause	audio playback channels	speaker	
Take a photo right now and verify if it is blurry.	CAMERA_CAPTURE_QUALITY_CHECK	Take	photo	camera	
Quiet down the audio output by fifty percent.	AUDIO_VOLUME_DOWN	Quiet down	audio output	speaker	
Disable the mic hardware lines.	MICROPHONE_DISABLE	Disable	hardware lines	mic	
Capture a five second video snippet using the Pi camera.	CAMERA_RECORD_VIDEO	Capture	video snippet	Pi camera	
Test the audio system by playing a test frequency sound.	AUDIO_TEST	Test	test frequency sound	audio system	
Look through the camera lens and identify any text on the paper.	CAMERA_OCR_READ	Look	text on the paper	camera lens	
