prompt,response
"fix go code: func add(a int, b int) { return a + b }","func add(a int, b int) int { return a + b }"
"fix go code: var m map[string]int; m[\"a\"] = 1","m := make(map[string]int); m[\"a\"] = 1"
"fix go code: if err != nil { fmt.Println(err) }","if err != nil { return fmt.Errorf(\"operation failed: %w\", err) }"
"fix go code: func main() { fmt.Println(\"hello\" }","func main() { fmt.Println(\"hello\") }"
"fix go code: for i := 0 i < 10 i++ { fmt.Println(i) }","for i := 0; i < 10; i++ { fmt.Println(i) }"
"fix go code: type Person struct { Name string Age int }","type Person struct { Name string; Age int }"
"fix go code: func (p Person) greet() { return \"Hi, \" + p.Name }","func (p Person) Greet() string { return \"Hi, \" + p.Name }"
"fix go code: slice := []int{}; slice[0] = 1","slice := make([]int, 1); slice[0] = 1"
"fix go code: var x int; x := 5","var x int; x = 5"
"fix go code: if x > 0 { } else if x < 0 { }","if x > 0 { } else if x < 0 { }"
"fix go code: import \"os\"; file, _ := os.Open(\"test.txt\")","import \"os\"; file, err := os.Open(\"test.txt\")"
"fix go code: defer file.Close(","defer file.Close()"
"fix go code: fmt.Printf(\"%d\", 1, 2)","fmt.Printf(\"%d %d\", 1, 2)"
"fix go code: arr := [3]int{1, 2}","arr := [...]int{1, 2, 0}"
"fix go code: switch x { case 1: break case 2: break }","switch x { case 1: fallthrough; case 2: }"
"fix go code: delete(m, \"key\"  )","delete(m, \"key\")"
"fix go code: close(ch","close(ch)"
"fix go code: http.HandleFunc(\"/\", handler","http.HandleFunc(\"/\", handler)"
"fix go code: json.Unmarshal(data, &result","json.Unmarshal(data, &result)"
"fix go code: go func(x int) { fmt.Println(x) }(5","go func(x int) { fmt.Println(x) }(5)"
"fix go code: select { case msg := <-ch: fmt.Println(msg) default: }","select { case msg := <-ch: fmt.Println(msg); default: }"
"fix go code: m := map[string]int{\"a\": 1, \"b\": 2}","m := map[string]int{\"a\": 1, \"b\": 2}"
"fix go code: type Reader interface { Read(p []byte) (n int, err error) }","type Reader interface { Read(p []byte) (n int, err error) }"
"fix go code: func NewReader(r io.Reader) *Reader { return &Reader{r} }","func NewReader(r io.Reader) *Reader { return &Reader{rd: r} }"
"fix go code: ctx := context.Background()","ctx := context.Background()"
"fix go code: if err == io.EOF { break }","if errors.Is(err, io.EOF) { break }"
"fix go code: http.Error(w, err.Error(), 500)","http.Error(w, err.Error(), http.StatusInternalServerError)"
"fix go code: var buf bytes.Buffer; buf.WriteString(\"data\")","var buf bytes.Buffer; buf.WriteString(\"data\")"
"fix go code: err := db.QueryRow(\"SELECT * FROM users WHERE id = ?\", id).Scan(&u)","err := db.QueryRow(\"SELECT * FROM users WHERE id = ?\", id).Scan(&u)"
"fix go code: log.Fatal(err) if err != nil","if err != nil { log.Fatal(err) }"
"fix go code: return nil, err","return nil, fmt.Errorf(\"query failed: %w\", err)"
"fix go code: for _, v := range m { fmt.Println(v) }","for k, v := range m { fmt.Println(k, v) }"
"fix go code: file, _ := os.Create(\"out.txt\")","file, err := os.Create(\"out.txt\"); if err != nil { return err }"
"fix go code: _, err := io.Copy(ioutil.Discard, resp.Body)","_, err := io.Copy(io.Discard, resp.Body)"
"fix go code: t := time.Now().UnixNano()","t := time.Now().UnixNano()"
"fix go code: var wg sync.WaitGroup; wg.Add(1); go func() { defer wg.Done() }()","var wg sync.WaitGroup; wg.Add(1); go func() { defer wg.Done() }()"
"fix go code: s := \"hello\"; s[0] = 'H'","s := \"hello\"; b := []byte(s); b[0] = 'H'; s = string(b)"
"fix go code: type MyInt int; func (a MyInt) Add(b MyInt) MyInt { return a + b }","type MyInt int; func (a MyInt) Add(b MyInt) MyInt { return a + b }"
"fix go code: const pi = 3.14","const pi float64 = 3.14"
"fix go code: _ = x // unused variable","// Remove or use x"
"fix go code: func do() error { defer db.Close() }","func do() error { defer db.Close(); return nil }"
"fix go code: var p *int; *p = 5","var x int; p := &x; *p = 5"
"fix go code: ch := make(chan int); ch <- 1; close(ch)","ch := make(chan int); ch <- 1; close(ch)"
"fix go code: go func() { defer wg.Done(); fmt.Println(\"done\") }","go func() { defer wg.Done(); fmt.Println(\"done\") }()"
"fix go code: err := json.NewEncoder(w).Encode(data)","err := json.NewEncoder(w).Encode(data)"
"fix go code: if ok { m[\"key\"] = val } else { delete(m, \"key\") }","if ok { m[\"key\"] = val } else { delete(m, \"key\") }"
"fix go code: func sum(nums ...int) int { total := 0; for _, n := range nums { total += n }; return total }","func sum(nums ...int) int { total := 0; for _, n := range nums { total += n }; return total }"
"fix go code: result, err := doWork(ctx, arg) if err != nil return result, err","result, err := doWork(ctx, arg); if err != nil { return result, fmt.Errorf(\"doWork: %w\", err) }"
"fix go code: m.Lock() defer m.Unlock()","m.Lock(); defer m.Unlock()"
"fix go code: val, ok := cache[ key ]","val, ok := cache[key]"
