query,answer,intent,grammar
"i welcome you with hello","hi there! how can i help you today?",greeting,PRON VERB PRON ADP INTJ
"who are you","i am gollemer, your ai assistant.",identity,PRON AUX PRON
"how are you","i am doing well, thank you for asking!",status_check,ADV AUX PRON
"create a new directory named api","i have created the directory 'api' for you.",file_management,VERB DET ADJ NOUN VERB NOUN
"how do i make a file in go","you can use the os.Create() function to make a file.",go_coding,ADV AUX PRON VERB DET NOUN ADP PROPN
"initialize a new go module","run 'go mod init' followed by your module name.",go_coding,VERB DET ADJ PROPN NOUN
"connect to a postgres database","use the database/sql package along with a driver like pq.",database,VERB ADP DET PROPN NOUN
"write a hello world program in go","here is a basic main function that prints hello world.",go_coding,VERB DET PROPN PROPN NOUN ADP PROPN
"delete the folder cache","the folder 'cache' has been successfully removed.",file_management,VERB DET NOUN NOUN
"check if a file exists in go","use os.Stat() and errors.Is() to check for existence.",go_coding,VERB SCONJ DET NOUN VERB ADP PROPN
"create a table for users","you can run a CREATE TABLE users sql query.",database,VERB DET NOUN ADP NOUN
"how to read a file line by line","open the file and use bufio.NewScanner() to read it.",go_coding,ADV PART VERB DET NOUN NOUN ADP NOUN
"make a new database named test_db","the database 'test_db' has been created.",database,VERB DET ADJ NOUN VERB NOUN
"how to declare a struct in go","type User struct syntax is used to define custom shapes.",go_coding,ADV PART VERB DET NOUN ADP PROPN
"list all files in the current directory","use os.ReadDir() to list the contents of a directory.",file_management,VERB DET NOUN ADP DET ADJ NOUN
"insert a row into the database","execute an INSERT INTO statement using db.Exec().",database,VERB DET NOUN ADP DET NOUN
"append text to a file in go","open the file with os.O_APPEND flag and write to it.",go_coding,VERB NOUN ADP DET NOUN ADP PROPN
"drop the old table","the table has been dropped from the database.",database,VERB DET ADJ NOUN
"create a setup script for folders","i can generate a bash script to create your folder tree.",file_management,VERB DET NOUN NOUN ADP NOUN
"how to format go code","run the 'go fmt' command in your terminal.",go_coding,ADV PART VERB PROPN NOUN
"query all users from the database","use db.Query() with a SELECT statement to fetch rows.",database,VERB DET NOUN ADP DET NOUN
"rename folder source to src","the folder has been renamed to 'src'.",file_management,VERB NOUN NOUN ADP NOUN
"how to parse json in go","use the encoding/json package and json.Unmarshal().",go_coding,ADV PART VERB NOUN ADP PROPN
"ping the database to verify connection","call db.Ping() to check if the database is alive.",database,VERB DET NOUN PART VERB NOUN
"remove a file named logs.txt","the file 'logs.txt' has been deleted.",file_management,VERB DET NOUN VERB NOUN
"write a simple http server in go","use the net/http package and http.ListenAndServe().",go_coding,VERB DET ADJ PROPN NOUN ADP PROPN
"how to handle database transactions","use db.Begin() then Commit() or Rollback() the tx.",database,ADV PART VERB NOUN NOUN
"create a nested directory structure","i can generate a script to build deep folder layers.",file_management,VERB DET ADJ NOUN NOUN
"close the database connection","always defer db.Close() to prevent connection leaks.",database,VERB DET NOUN NOUN
"how to write environment variables in go","use the os.Setenv() function to set variables.",go_coding,ADV PART VERB NOUN NOUN ADP PROPN
"copy a file to another folder","read the source file and write it to the destination.",file_management,VERB DET NOUN ADP DET NOUN
"execute a raw sql query","use db.QueryRow() for single rows or db.Query() for many.",database,VERB DET ADJ PROPN NOUN
"generate a random string in go","use the math/rand package or crypto/rand for security.",go_coding,VERB DET ADJ NOUN ADP PROPN
"check file permissions","use os.Stat() and check the Mode() bits of the file.",file_management,VERB NOUN NOUN
"update user email in database","run an UPDATE users SET email statement via db.Exec().",database,VERB NOUN NOUN ADP NOUN
"how to use timers in go","use the time.After() or time.NewTimer() functions.",go_coding,ADV PART VERB NOUN ADP PROPN
"create a temporary file","use os.CreateTemp() to make a temporary file safely.",file_management,VERB DET ADJ NOUN
"count rows in a table","use SELECT COUNT(*) FROM table name in your query.",database,VERB NOUN ADP DET NOUN
"how to run benchmarks in go","run 'go test -bench=.' in your package directory.",go_coding,ADV PART VERB NOUN ADP PROPN
"move a file to a new path","use os.Rename() to move files across the same disk.",file_management,VERB DET NOUN ADP DET ADJ NOUN
"truncate a database table","run the TRUNCATE TABLE statement to wipe all data.",database,VERB DET NOUN NOUN
"define an interface in go","type Reader interface defines a set of method signatures.",go_coding,VERB DET NOUN ADP PROPN
"get the current working directory","use os.Getwd() to find the path of execution.",file_management,VERB DET ADJ ADJ NOUN
"add a foreign key constraint","alter the table to include a foreign key reference.",database,VERB DET ADJ NOUN NOUN
"how to implement goroutines","use the 'go' keyword before a function call.",go_coding,ADV PART VERB NOUN
"find a file by name","you can loop through directories to find a match.",file_management,VERB DET NOUN ADP NOUN
"create a database index","run CREATE INDEX to speed up your query performance.",database,VERB DET NOUN NOUN
"how to read environment from .env file","use a third party library like godotenv to load it.",go_coding,ADV PART VERB NOUN ADP NOUN NOUN
"delete all empty folders","i can find and purge empty directories for you.",file_management,VERB DET ADJ NOUN
"compile a go binary","run 'go build' to compile your main package code.",go_coding,VERB DET PROPN NOUN
